id;register_code;account_name;account_type;account_angle;ksei_client_code;ksei_subrek;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Soap Tasty;Home Loan ;D;false;depo;parsing Investm;2019-10-27;2019-10-27T08:47:49;65148;2019-10-27;2019-10-28T02:54:18;19579
2;Intelligen;Checking A;G;true;Hand;wireless;2019-10-28;2019-10-28T01:06:03;49603;2019-10-28;2019-10-27T15:14:10;69673
3;Personal L;Credit Car;m;false;quan;interface Cotto;2019-10-27;2019-10-27T23:41:10;86711;2019-10-27;2019-10-27T18:22:50;85841
4;bandwidth;Auto Loan ;c;true;navi;Fantastic Small;2019-10-27;2019-10-28T00:12:07;95680;2019-10-27;2019-10-27T15:37:23;95060
5;Missouri d;Investment;m;false;Dani;neural Wooden O;2019-10-27;2019-10-28T06:29:02;99593;2019-10-27;2019-10-28T06:31:28;44153
6;EXE cross-;Savings Ac;p;false;Alge;Steel Avon Visi;2019-10-27;2019-10-27T22:52:58;86313;2019-10-27;2019-10-27T10:44:13;81279
7;Interactio;Personal L;n;false;navi;Triple-buffered;2019-10-27;2019-10-27T20:02:33;25368;2019-10-28;2019-10-27T22:08:26;46866
8;Handmade W;Credit Car;s;false;asym;web services;2019-10-27;2019-10-28T07:34:25;97790;2019-10-27;2019-10-27T18:31:17;4315
9;Lead;Home Loan ;A;true;Savi;heuristic Orche;2019-10-27;2019-10-27T10:14:16;73710;2019-10-28;2019-10-27T09:53:58;28096
10;Brand Regi;Home Loan ;c;false;one-;holistic;2019-10-28;2019-10-27T08:11:47;45324;2019-10-27;2019-10-28T07:05:23;53609
