id;account_type;register_id;account_id;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;U;36019;53708;2019-11-27;2019-11-27T02:10:13;52224;2019-11-26;2019-11-26T15:31:48;27154
2;O;45726;8534;2019-11-26;2019-11-27T08:46:10;19438;2019-11-26;2019-11-27T00:08:14;54063
3;d;51630;71459;2019-11-27;2019-11-27T09:01:27;79518;2019-11-27;2019-11-27T03:30:35;43352
4;b;18433;96264;2019-11-27;2019-11-26T13:56:47;42831;2019-11-26;2019-11-26T17:29:09;40895
5;S;15643;44235;2019-11-27;2019-11-27T04:15:18;54922;2019-11-27;2019-11-26T16:51:35;18286
6;R;51669;73789;2019-11-26;2019-11-26T20:42:19;43567;2019-11-26;2019-11-26T16:29:20;41960
7;O;35597;15864;2019-11-26;2019-11-27T07:07:33;1439;2019-11-27;2019-11-27T07:13:26;9179
8;S;31141;85546;2019-11-26;2019-11-26T17:07:20;17533;2019-11-26;2019-11-27T09:35:52;9783
9;B;43385;64977;2019-11-27;2019-11-27T08:51:23;61585;2019-11-26;2019-11-26T18:46:04;88668
10;e;1530;62585;2019-11-26;2019-11-26T21:56:05;50103;2019-11-26;2019-11-26T21:03:53;65869
